               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06204,            0.024611,             0.02203,             0.34814,             0.63923,             0.38364,             0.16366,            0.022838,           0.0091741,            0.013802,            0.070185,           0.0033128,           0.0033128
                   1,             0.04267,             0.02054,            0.020274,             0.40303,              0.6483,             0.47424,             0.19703,            0.019882,           0.0066889,             0.01373,            0.040119,           0.0065803,           0.0065803
                   2,            0.039908,            0.018572,            0.020624,             0.45551,             0.77882,             0.54714,              0.2182,            0.022568,           0.0056432,            0.013206,           0.0099876,           0.0097818,           0.0097818
                   3,            0.034882,            0.017851,            0.018596,             0.66008,             0.76282,             0.71424,             0.32975,            0.018645,           0.0059387,            0.011692,            0.009703,            0.009703,            0.009703
                   4,            0.033757,            0.017641,            0.016965,             0.73346,             0.81325,             0.84448,             0.40524,            0.017842,           0.0053824,           0.0076636,            0.009703,            0.009703,            0.009703
                   5,            0.031205,            0.017273,            0.015931,             0.73517,             0.81789,             0.81807,             0.40265,            0.017095,           0.0052748,           0.0086489,            0.009604,            0.009604,            0.009604
                   6,            0.030485,            0.017355,            0.014629,              0.7588,             0.76461,             0.77581,             0.39711,            0.018617,           0.0051141,           0.0088102,            0.009505,            0.009505,            0.009505
                   7,            0.028637,            0.016628,            0.013011,             0.79336,             0.85864,             0.85195,             0.38906,            0.016725,           0.0053663,           0.0068091,            0.009406,            0.009406,            0.009406
                   8,            0.029065,            0.016748,            0.013412,             0.83848,             0.84027,             0.89964,             0.47011,            0.015285,           0.0052377,           0.0057769,            0.009307,            0.009307,            0.009307
                   9,            0.026555,             0.01676,            0.012359,              0.8366,              0.8689,             0.90651,             0.46505,            0.015595,           0.0051602,           0.0047709,            0.009208,            0.009208,            0.009208
                  10,            0.027137,            0.016344,            0.011387,             0.81151,               0.831,              0.8741,             0.50889,            0.014135,           0.0049671,           0.0051924,            0.009109,            0.009109,            0.009109
                  11,            0.026908,            0.016181,            0.012208,             0.87897,             0.86254,             0.93302,             0.52163,            0.014459,            0.005033,           0.0049728,             0.00901,             0.00901,             0.00901
                  12,            0.026128,            0.015859,            0.011454,             0.86216,             0.90873,             0.92278,             0.50325,            0.014738,           0.0050757,           0.0038014,            0.008911,            0.008911,            0.008911
                  13,            0.024891,            0.015853,            0.011077,             0.83258,              0.9141,             0.93424,             0.50505,            0.016055,           0.0048534,           0.0031599,            0.008812,            0.008812,            0.008812
                  14,            0.023831,            0.015605,           0.0097004,             0.90147,             0.87011,              0.9518,             0.52574,             0.01688,           0.0048296,           0.0032803,            0.008713,            0.008713,            0.008713
                  15,            0.024771,            0.014861,           0.0092049,             0.89547,             0.92063,             0.95039,             0.54211,            0.013794,           0.0048296,           0.0023221,            0.008614,            0.008614,            0.008614
                  16,            0.024764,            0.015426,           0.0090079,             0.89341,             0.87472,             0.93626,             0.56329,            0.014985,            0.004662,           0.0033174,            0.008515,            0.008515,            0.008515
                  17,            0.022387,            0.014642,           0.0094459,             0.94849,             0.88635,             0.95883,              0.5792,             0.01421,           0.0045957,            0.002835,            0.008416,            0.008416,            0.008416
                  18,            0.024433,            0.015239,           0.0092066,             0.92656,             0.91124,             0.95076,             0.54731,            0.015296,           0.0046221,           0.0035011,            0.008317,            0.008317,            0.008317
                  19,            0.023749,            0.015066,            0.009444,             0.94004,             0.92165,             0.96144,             0.59032,            0.014093,            0.004541,           0.0023326,            0.008218,            0.008218,            0.008218
                  20,            0.023137,             0.01469,           0.0081885,               0.888,             0.84524,             0.93024,              0.5305,            0.014158,            0.004731,           0.0040531,            0.008119,            0.008119,            0.008119
                  21,            0.023268,            0.014677,           0.0082236,             0.93331,             0.92661,             0.95982,             0.56589,            0.013692,           0.0047402,            0.002106,             0.00802,             0.00802,             0.00802
                  22,            0.023644,            0.015138,           0.0091199,             0.88782,             0.91137,             0.93591,             0.54292,            0.014186,           0.0046233,            0.003122,            0.007921,            0.007921,            0.007921
                  23,            0.023333,            0.015309,            0.009711,             0.87677,             0.93867,              0.9379,             0.54061,            0.013631,           0.0047205,           0.0025082,            0.007822,            0.007822,            0.007822
