               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059626,            0.024468,            0.021328,             0.37022,             0.63885,              0.3959,             0.16412,            0.022133,            0.009154,            0.013574,             0.07014,           0.0033178,           0.0033178
                   1,            0.040085,            0.019924,            0.019708,              0.3298,             0.59962,             0.42768,             0.18107,            0.022977,           0.0064225,            0.013752,            0.040074,           0.0065853,           0.0065853
                   2,            0.036238,             0.01861,            0.018823,             0.46726,             0.63128,             0.54508,             0.23545,            0.020807,           0.0057755,            0.013256,           0.0099418,           0.0097868,           0.0097868
                   3,            0.034806,            0.018034,            0.018175,             0.71011,             0.73418,             0.72874,             0.33499,            0.018665,           0.0053885,              0.0118,            0.009703,            0.009703,            0.009703
                   4,            0.030403,            0.017111,            0.015589,             0.75957,             0.77082,             0.78071,             0.39359,            0.017891,           0.0051446,            0.011024,            0.009703,            0.009703,            0.009703
                   5,            0.030261,            0.017556,            0.014465,             0.70686,             0.84652,              0.7687,             0.35677,             0.01806,           0.0053285,           0.0084835,            0.009604,            0.009604,            0.009604
                   6,            0.028682,            0.016992,            0.012685,             0.85074,             0.82694,             0.85542,             0.44186,            0.016086,             0.00518,           0.0082107,            0.009505,            0.009505,            0.009505
                   7,            0.026897,            0.017498,            0.013359,             0.84255,             0.86038,             0.85851,             0.43934,            0.015006,           0.0050371,             0.00825,            0.009406,            0.009406,            0.009406
                   8,            0.026556,              0.0166,            0.012321,             0.86834,             0.87603,             0.92015,             0.48439,            0.015063,           0.0050164,            0.005583,            0.009307,            0.009307,            0.009307
                   9,            0.026464,            0.016451,            0.011892,             0.78667,             0.79739,             0.82975,             0.44063,            0.015812,           0.0052128,           0.0087909,            0.009208,            0.009208,            0.009208
                  10,            0.025224,            0.016244,            0.011214,             0.84032,             0.90466,             0.90872,             0.49455,            0.015318,           0.0048768,           0.0044754,            0.009109,            0.009109,            0.009109
                  11,            0.024868,            0.015922,            0.010882,             0.84565,             0.86355,             0.88178,             0.44536,            0.018121,           0.0050895,           0.0066942,             0.00901,             0.00901,             0.00901
                  12,            0.024562,            0.016204,            0.010973,              0.8433,              0.8503,             0.90372,             0.48708,            0.015432,           0.0051215,           0.0040381,            0.008911,            0.008911,            0.008911
                  13,            0.023845,            0.015787,            0.010397,             0.88192,             0.90379,              0.9311,             0.50482,            0.013864,           0.0051534,           0.0040268,            0.008812,            0.008812,            0.008812
                  14,            0.024282,            0.015845,            0.010658,             0.91534,             0.89479,             0.95676,             0.55423,            0.013029,           0.0048397,            0.003006,            0.008713,            0.008713,            0.008713
                  15,            0.023754,            0.015183,           0.0097308,             0.86889,             0.88937,              0.9282,             0.52014,            0.013813,           0.0047635,           0.0045082,            0.008614,            0.008614,            0.008614
